IGN,YEAR,POS,NAT,TEAM,BIRTH,CHAMP1,CHAMP2,CHAMP3,LEAGUE
EIKA,16,Mid Laner,France,Elements,1996-07-19,Viktor,Morgana,Syndra,LEC
MRRALLEZ,16,Bot Laner,Denmark,Elements,1996-10-13,Lucian,Sivir,Jhin,LEC
PROMISQ,16,Support,Sweden,Elements,1994-03-04,Karma,Thresh,Alistar,LEC
GAMSU,16,Top Laner,South Korea,Fnatic,1995-02-14,Karma,Thresh,Alistar,LEC
SPIRIT,16,Jungler,South Korea,Fnatic,1996-07-01,Nidalee,Lee Sin,Gragas,LEC
FEBIVEN,16,Mid Laner,Netherlands,Fnatic,1996-09-23,Azir,Lissandra,Vladimir,LEC
REKKLES,16,Bot Laner,Sweden,Fnatic,1996-09-20,Ezreal,Lucian,Jhin,LEC
NOXIAK,16,Support,Germany,Fnatic,1994-06-11,Alistar,Braum,Janna,LEC
KLAJ,16,Support,Sweden,Fnatic,1996-01-30,Thresh,Alistar,Braum,LEC
KIKIS,16,Top Laner,Poland,G2 Esports,1996-03-16,Poppy,Irelia,Ekko,LEC
TRICK,16,Jungler,South Korea,G2 Esports,1995-07-11,Graves,Rek'Sai,Nidalee,LEC
PERKZ,16,Mid Laner,Croatia,G2 Esports,1998-09-30,Ryze,Azir,Vladimir,LEC
EMPEROR,16,Bot Laner,South Korea,G2 Esports,1993-06-07,Lucian,Kalista,Ezreal,LEC
HYBRID,16,Support,Netherlands,G2 Esports,1994-08-05,Braum,Thresh,Bard,LEC
ATOM,16,Top Laner,Denmark,Giants Gaming,1995-02-14,Trundle,Malphite,Fiora,LEC
SMITTYJ,16,Top Laner,Germany,Giants Gaming,1996-06-23,Trundle,Jax,Poppy,LEC
K0U,16,Jungler,Norway,Giants Gaming,1997-09-28,Elise,Gragas,Kindred,LEC
BETONGJOCKE,16,Jungler,Sweden,Giants Gaming,,Elise,Lee Sin,Nidalee,LEC
WISDOM,16,Jungler,South Korea,Giants Gaming,1995-12-23,Rek'Sai,Elise,Gragas,LEC
XPEPII,16,Mid Laner,Spain,Giants Gaming,,Azir,Ahri,Corki,LEC
ADRYH,16,Bot Laner,Spain,Giants Gaming,,Lucian,Ezreal,Kalista,LEC
SONSTAR,16,Bot Laner,South Korea,Giants Gaming,1994-08-31,Sivir,Jhin,Lucian,LEC
G0DFRED,16,Support,Sweden,Giants Gaming,,Braum,Trundle,Alistar,LEC
HUSTLIN,16,Support,Sweden,Giants Gaming,1995-05-02,Braum,Nautilus,Alistar,LEC
ODOAMNE,16,Top Laner,Romania,H2k-Gaming,1995-01-18,Shen,Gnar,Ekko,LEC
JANKOS,16,Jungler,Poland,H2k-Gaming,1995-07-23,Elise,Rek'Sai,Lee Sin,LEC
RYU,16,Mid Laner,South Korea,H2k-Gaming,1994-01-28,Vladimir,Viktor,Ryze,LEC
SELFIE,16,Mid Laner,Poland,H2k-Gaming,1997-02-07,Viktor,Vladimir,Lissandra,LEC
FORG1VENGRE,16,Bot Laner,Greece,H2k-Gaming,1992-07-23,Sivir,Lucian,Tristana,LEC
VANDER,16,Support,Poland,H2k-Gaming,1994-04-18,Braum,Karma,Alistar,LEC
SOAZ,16,Top Laner,France,Origen,1994-01-09,Poppy,Trundle,Gangplank,LEC
AMAZING,16,Jungler,Germany,Origen,1994-04-02,Elise,Kindred,Gragas,LEC
POWEROFEVIL,16,Mid Laner,Germany,Origen,1997-10-27,Orianna,Azir,Viktor,LEC
XPEKE,16,Mid Laner,Spain,Origen,1992-04-24,Lucian,Ashe,Ezreal,LEC
ZVEN,16,Bot Laner,Denmark,Origen,1997-06-24,Lucian,Sivir,Jhin,LEC
MITHY,16,Support,Spain,Origen,1994-10-05,Braum,Alistar,Karma,LEC
WUNDERWEAR,16,Top Laner,Denmark,Splyce,1998-11-09,Gnar,Fiora,Gangplank,LEC
TRASHY,16,Jungler,Denmark,Splyce,1995-02-22,Rek'Sai,Gragas,Elise,LEC
SENCUX,16,Mid Laner,Denmark,Splyce,1998-09-17,Malzahar,Azir,Vladimir,LEC
KOBBE,16,Bot Laner,Denmark,Splyce,1996-09-21,Lucian,Caitlyn,Sivir,LEC
NISBETH,16,Support,Denmark,Splyce,1995-03-05,Braum,Alistar,Morgana,LEC
FREDY122,16,Top Laner,United Kingdom,Team ROCCAT,,Rammus,Gangplank,Malphite,LEC
AIRWAKS,16,Jungler,Switzerland,Team ROCCAT,1994-09-01,Gragas,Kindred,Rek'Sai,LEC
BETSY,16,Mid Laner,Malaysia,Team ROCCAT,1997-07-28,Viktor,Azir,Vladimir,LEC
SAFIR,16,Bot Laner,Afghanistan,Team ROCCAT,,Kalista,Corki,Ezreal,LEC
TABZZ,16,Bot Laner,Netherlands,Team ROCCAT,1994-03-17,Lucian,Ashe,Jhin,LEC
EDWARD,16,Support,Armenia,Team ROCCAT,1994-05-01,Thresh,Bard,Taric,LEC
EXTINKT,16,Support,Lithuania,Team ROCCAT,1993-01-02,Braum,Alistar,Soraka,LEC
CABOCHARD,16,Top Laner,France,Team Vitality,1997-04-15,Irelia,Fiora,Maokai,LEC
SHOOK,16,Jungler,Netherlands,Team Vitality,1994-11-05,Elise,Gragas,Nidalee,LEC
NUKEDUCK,16,Mid Laner,Norway,Team Vitality,1996-05-21,Ryze,Gangplank,Zilean,LEC
HJARNAN,16,Bot Laner,Sweden,Team Vitality,1993-11-18,Corki,Kalista,Sivir,LEC
KASING,16,Support,United Kingdom,Team Vitality,1993-12-08,Thresh,Karma,Morgana,LEC
VIZICSACSI,16,Top Laner,Hungary,Unicorns of Love,1993-06-14,Shen,Gnar,Trundle,LEC
DIAMONDPROX,16,Jungler,Russia,Unicorns of Love,1992-12-24,Elise,Rek'Sai,Kindred,LEC
DJOKO,16,Jungler,France,Unicorns of Love,1997-03-01,Rek'Sai,Gragas,Kindred,LEC
RUDY,16,Jungler,Sweden,Unicorns of Love,1995-05-03,Gragas,Kindred,Elise,LEC
LOULEX,16,Jungler,France,Unicorns of Love,1995-03-27,Lee Sin,Gragas,Nidalee,LEC
FOX,16,Mid Laner,Sweden,Unicorns of Love,1995-05-26,Viktor,Azir,Vladimir,LEC
STEEELBACK,16,Bot Laner,France,Unicorns of Love,1996-08-16,Lucian,Jhin,Sivir,LEC
HYLISSANG,16,Support,Bulgaria,Unicorns of Love,1995-04-30,Braum,Alistar,Thresh,LEC
SOAZ,17,Top Laner,France,Fnatic,1994-01-09,Shen,Gnar,Maokai,LEC
AMAZINGX,17,Jungler,Germany,Fnatic,1994-04-02,Rek'Sai,Lee Sin,Gragas,LEC
BROXAH,17,Jungler,Denmark,Fnatic,1997-08-12,Elise,Lee Sin,Gragas,LEC
CAPS,17,Mid Laner,Denmark,Fnatic,1999-11-17,Syndra,Orianna,Ryze,LEC
REKKLES,17,Bot Laner,Sweden,Fnatic,1996-09-20,Kennen,Tristana,Jhin,LEC
JESIZ,17,Support,Denmark,Fnatic,1996-06-17,Zyra,Karma,Thresh,LEC
EXPECT,17,Top Laner,South Korea,G2 Esports,1996-07-04,Rumble,Shen,Renekton,LEC
TRICK,17,Jungler,South Korea,G2 Esports,1995-07-11,Graves,Gragas,Kha'Zix,LEC
PERKZ,17,Mid Laner,Croatia,G2 Esports,1998-09-30,Orianna,Syndra,Ryze,LEC
ZVEN,17,Bot Laner,Denmark,G2 Esports,1997-06-24,Varus,Ashe,Caitlyn,LEC
MITHY,17,Support,Spain,G2 Esports,1994-10-05,Tahm Kench,Lulu,Braum,LEC
FLAXXISH,17,Top Laner,Sweden,Giants Gaming,1996-02-01,Renekton,Maokai,Nautilus,LEC
MEMENTO,17,Jungler,Sweden,Giants Gaming,1995-12-20,Graves,Kha'Zix,Rek'Sai,LEC
NIGHT,17,Mid Laner,South Korea,Giants Gaming,,Ryze,Corki,Ahri,LEC
HEAQ,17,Bot Laner,Estonia,Giants Gaming,,Ashe,Varus,Jhin,LEC
HUSTLIN,17,Support,Sweden,Giants Gaming,1995-05-02,Zyra,Nautilus,Karma,LEC
ODOAMNE,17,Top Laner,Romania,H2k-Gaming,1995-01-18,Rumble,Shen,Maokai,LEC
JANKOS,17,Jungler,Poland,H2k-Gaming,1995-07-23,Kha'Zix,Sejuani,Gragas,LEC
FEBIVEN,17,Mid Laner,Netherlands,H2k-Gaming,1996-09-23,Syndra,Orianna,Cassiopeia,LEC
NUCLEAR,17,Bot Laner,South Korea,H2k-Gaming,1997-05-19,Ashe,Varus,Jhin,LEC
CHEI,17,Support,South Korea,H2k-Gaming,1996-06-30,Thresh,Zyra,Braum,LEC
ALPHARI,17,Top Laner,United Kingdom,Misfits Gaming,1999-10-20,Rumble,Gnar,Jarvan IV,LEC
KAKAO,17,Jungler,South Korea,Misfits Gaming,1995-12-07,Rengar,Lee Sin,Graves,LEC
POWEROFEVIL,17,Mid Laner,Germany,Misfits Gaming,1997-10-27,Orianna,Syndra,Cassiopeia,LEC
HANS SAMA,17,Bot Laner,France,Misfits Gaming,1999-09-02,Varus,Ashe,Xayah,LEC
IGNAR,17,Support,South Korea,Misfits Gaming,1996-11-20,Thresh,Tahm Kench,Blitzcrank,LEC
SATORIUS,17,Top Laner,Germany,Origen,1994-04-12,Gragas,Rumble,Nautilus,LEC
WISDOM,17,Jungler,South Korea,Origen,1995-12-23,Rek'Sai,Elise,Gragas,LEC
CINKROF,17,Jungler,Poland,Origen,1997-08-09,Lee Sin,Rek'Sai,Kha'Zix,LEC
NAEHYUN,17,Mid Laner,South Korea,Origen,1996-02-07,Orianna,Taliyah,Jayce,LEC
TABZZ,17,Bot Laner,Netherlands,Origen,1994-03-17,Varus,Ezreal,Jhin,LEC
HIIVA,17,Support,Finland,Origen,1994-08-31,Zyra,Karma,Nami,LEC
XPEKE,17,Support,Spain,Origen,1992-04-24,Lulu,Karma,Sivir,LEC
WUNDER,17,Top Laner,Denmark,Splyce,1998-11-09,Rumble,Kled,Kennen,LEC
TRASHY,17,Jungler,Denmark,Splyce,1995-02-22,Gragas,Kha'Zix,Elise,LEC
SENCUX,17,Mid Laner,Denmark,Splyce,1998-09-17,Syndra,Corki,Orianna,LEC
KOBBE,17,Bot Laner,Denmark,Splyce,1996-09-21,Jhin,Varus,Xayah,LEC
MIKYX,17,Support,Slovenia,Splyce,1998-11-02,Braum,Thresh,Karma,LEC
PHAXI,17,Top Laner,Slovenia,Team ROCCAT,1997-02-17,Gnar,Jarvan IV,Renekton,LEC
MAXLORE,17,Jungler,United Kingdom,Team ROCCAT,1996-07-01,Lee Sin,Rengar,Sejuani,LEC
BETSY,17,Mid Laner,Malaysia,Team ROCCAT,1997-07-28,Syndra,Vladimir,Ryze,LEC
HJARNAN,17,Bot Laner,Sweden,Team ROCCAT,1993-11-18,Varus,Kalista,Sivir,LEC
WADID,17,Support,South Korea,Team ROCCAT,1997-05-25,Thresh,Tahm Kench,Malzahar,LEC
CABOCHARD,17,Top Laner,France,Team Vitality,1997-04-15,Rumble,Shen,Renekton,LEC
DJOKO,17,Jungler,France,Team Vitality,1997-03-01,Olaf,Kha'Zix,Gragas,LEC
NUKEDUCK,17,Mid Laner,Norway,Team Vitality,1996-05-21,Orianna,Corki,Ryze,LEC
GBM,17,Mid Laner,South Korea,Team Vitality,1994-06-23,LeBlanc,Galio,Vladimir,LEC
STEEELBACK,17,Bot Laner,France,Team Vitality,1996-08-16,Jhin,Ashe,Caitlyn,LEC
HACHANI,17,Support,South Korea,Team Vitality,1994-12-24,Malzahar,Thresh,Bard,LEC
AOD,17,Support,Romania,Team Vitality,1993-01-26,Thresh,Braum,Malzahar,LEC
VIZICSACSI,17,Top Laner,Hungary,Unicorns of Love,1993-06-14,Shen,Gnar,Rumble,LEC
XERXE,17,Jungler,Romania,Unicorns of Love,1999-11-05,Ivern,Rengar,Gragas,LEC
EXILEH,17,Mid Laner,Germany,Unicorns of Love,1997-04-21,Ryze,LeBlanc,Vladimir,LEC
SAMUX,17,Bot Laner,Spain,Unicorns of Love,1995-06-11,Caitlyn,Jhin,Xayah,LEC
HYLISSANG,17,Support,Bulgaria,Unicorns of Love,1995-04-30,Tahm Kench,Thresh,Rakan,LEC
VIZICSACSI,18,Top Laner,Hungary,Schalke 04,1993-06-14,Cho'Gath,Poppy,Maokai,LEC
PRIDE,18,Jungler,Netherlands,Schalke 04,1999-01-19,Sejuani,Kha'Zix,Zac,LEC
NUKEDUCK,18,Mid Laner,Norway,Schalke 04,1996-05-21,Ryze,Azir,LeBlanc,LEC
VANDER,18,Bot Laner,Poland,Schalke 04,1994-04-18,Braum,Alistar,Shen,LEC
UPSET,18,Bot Laner,Germany,Schalke 04,1999-12-16,Ezreal,Tristana,Varus,LEC
BORIS,18,Support,Belgium,Schalke 04,1990-05-08,Braum,0,0,LEC
SOAZ,18,Top Laner,France,Fnatic,1994-01-09,Ornn,Cho'Gath,Gragas,LEC
BWIPO,18,Top Laner,Belgium,Fnatic,1998-12-24,Sion,Swain,Ornn,LEC
BROXAH,18,Jungler,Denmark,Fnatic,1997-08-12,Trundle,Sejuani,Skarner,LEC
CAPS,18,Mid Laner,Denmark,Fnatic,1999-11-17,Zoe,Irelia,Azir,LEC
REKKLES,18,Bot Laner,Sweden,Fnatic,1996-09-20,Sivir,Ezreal,Tristana,LEC
HYLISSANG,18,Support,Bulgaria,Fnatic,1995-04-30,Braum,Rakan,Pyke,LEC
WUNDER,18,Top Laner,Denmark,G2 Esports,1998-11-09,Aatrox,Gangplank,Urgot,LEC
JANKOS,18,Jungler,Poland,G2 Esports,1995-07-23,Olaf,Skarner,Sejuani,LEC
PERKZ,18,Mid Laner,Croatia,G2 Esports,1998-09-30,Ryze,Zoe,Irelia,LEC
HJARNAN,18,Bot Laner,Sweden,G2 Esports,1993-11-18,Varus,Jhin,Heimerdinger,LEC
WADID,18,Support,South Korea,G2 Esports,1997-05-25,Tahm Kench,Alistar,Braum,LEC
RUIN,18,Top Laner,South Korea,Giants Gaming,1995-11-16,Gnar,Rumble,Poppy,LEC
DJOKO,18,Jungler,France,Giants Gaming,1997-03-01,Sejuani,Zac,Gragas,LEC
BETSY,18,Mid Laner,Malaysia,Giants Gaming,1997-07-28,Azir,Ryze,Vladimir,LEC
STEEELBACK,18,Bot Laner,France,Giants Gaming,1996-08-16,Ezreal,Lucian,Caitlyn,LEC
TARGAMAS,18,Support,Belgium,Giants Gaming,2000-06-30,Tahm Kench,Taric,Thresh,LEC
SMITTYJ,18,Top Laner,Germany,H2k-Gaming,1996-06-23,Gnar,Cho'Gath,Jayce,LEC
SANTORIN,18,Jungler,Denmark,H2k-Gaming,1997-05-06,Trundle,Jarvan IV,Sejuani,LEC
SHOOK,18,Jungler,Netherlands,H2k-Gaming,1994-11-05,Sejuani,Jarvan IV,Zac,LEC
CAEDREL,18,Mid Laner,United Kingdom,H2k-Gaming,1996-03-19,Trundle,Corki,Olaf,LEC
SELFIE,18,Mid Laner,Poland,H2k-Gaming,1997-02-07,Orianna,Ryze,Zoe,LEC
SHERIFF,18,Bot Laner,Czech Republic,H2k-Gaming,2000-04-07,Xayah,Caitlyn,Tristana,LEC
PROMISQ,18,Support,Sweden,H2k-Gaming,1994-03-04,Braum,Tahm Kench,Alistar,LEC
ALPHARI,18,Top Laner,United Kingdom,Misfits Gaming,1999-10-20,Cho'Gath,Dr. Mundo,Ornn,LEC
MAXLORE,18,Jungler,United Kingdom,Misfits Gaming,1996-07-01,Sejuani,Taliyah,Kha'Zix,LEC
SENCUX,18,Mid Laner,Denmark,Misfits Gaming,1998-09-17,Yasuo,Galio,Lulu,LEC
HANS SAMA,18,Bot Laner,France,Misfits Gaming,1999-09-02,Xayah,Ezreal,Kai'Sa,LEC
MIKYX,18,Support,Slovenia,Misfits Gaming,1998-11-02,Braum,Alistar,Rakan,LEC
ODOAMNE,18,Top Laner,Romania,Splyce,1995-01-18,Sion,Ornn,Gnar,LEC
XERXE,18,Jungler,Romania,Splyce,1999-11-05,Trundle,Zac,Sejuani,LEC
NISQY,18,Mid Laner,Belgium,Splyce,1998-07-28,Zoe,Ryze,Cassiopeia,LEC
KOBBE,18,Bot Laner,Denmark,Splyce,1996-09-21,Varus,Ezreal,Xayah,LEC
KASING,18,Support,United Kingdom,Splyce,1993-12-08,Braum,Tahm Kench,Morgana,LEC
PROFIT,18,Top Laner,South Korea,Team ROCCAT,1995-09-15,Gnar,Ornn,Dr. Mundo,LEC
MEMENTO,18,Jungler,Sweden,Team ROCCAT,1995-12-20,Sejuani,Gragas,Camille,LEC
BLANC,18,Mid Laner,South Korea,Team ROCCAT,1995-06-03,Azir,Ryze,Corki,LEC
HEAQ,18,Bot Laner,Estonia,Team ROCCAT,,Caitlyn,Ezreal,Xayah,LEC
NORSKEREN,18,Support,Norway,Team ROCCAT,1999-12-27,Tahm Kench,Braum,Rakan,LEC
CABOCHARD,18,Top Laner,France,Team Vitality,1997-04-15,Sion,Ornn,Gragas,LEC
GILIUS,18,Jungler,Germany,Team Vitality,1997-01-05,Sejuani,Trundle,Jarvan IV,LEC
JIIZUKE,18,Mid Laner,Italy,Team Vitality,1996-01-14,Taliyah,Galio,Zoe,LEC
MINITROUPAX,18,Bot Laner,Portugal,Team Vitality,1996-02-26,Caitlyn,Varus,Ezreal,LEC
JACTROLL,18,Support,Poland,Team Vitality,1998-08-05,Thresh,Tahm Kench,Braum,LEC
WHITEKNIGHT,18,Top Laner,Finland,Unicorns of Love,1996-02-16,Dr. Mundo,Gnar,Kennen,LEC
KOLD,18,Jungler,Denmark,Unicorns of Love,1995-02-22,Sejuani,Jarvan IV,Gragas,LEC
EXILEH,18,Mid Laner,Germany,Unicorns of Love,1997-04-21,Ryze,Zoe,Azir,LEC
SAMUX,18,Bot Laner,Spain,Unicorns of Love,1995-06-11,Tristana,Ezreal,Kai'Sa,LEC
TOTORO,18,Support,South Korea,Unicorns of Love,1996-05-06,Braum,Tahm Kench,Alistar,LEC
EXPECT,19,Top Laner,South Korea,Excel,1996-07-04,Renekton,Rumble,Aatrox,LEC
CAEDREL,19,Jungler,United Kingdom,Excel,1996-03-19,Sejuani,Jarvan IV,Olaf,LEC
EXILE,19,Mid Laner,Germany,Excel,1997-04-21,Yasuo,Ryze,Tristana,LEC
SPECIAL,19,Mid Laner,Netherlands,Excel,1998-01-27,Syndra,Yasuo,Akali,LEC
JESKLA,19,Bot Laner,Sweden,Excel,2000-07-08,Ezreal,Lucian,Xayah,LEC
KASING,19,Support,United Kingdom,Excel,1993-12-08,Braum,Pantheon,Yuumi,LEC
MYSTIQUES,19,Support,Poland,Excel,1997-03-01,Thresh,Rakan,Tahm Kench,LEC
ODOAMNE,19,Top Laner,Romania,Schalke 04,1995-01-18,Kennen,Rumble,Gnar,LEC
MEMENTO,19,Jungler,Sweden,Schalke 04,1995-12-20,Sejuani,Jarvan IV,Sylas,LEC
ABBEDAGGE,19,Mid Laner,Germany,Schalke 04,1999-09-10,Akali,Sylas,Lissandra,LEC
UPSET,19,Bot Laner,Germany,Schalke 04,1999-12-16,Kai'Sa,Ezreal,Lucian,LEC
IGNAR,19,Support,South Korea,Schalke 04,1996-11-20,Alistar,Thresh,Rakan,LEC
BWIPO,19,Top Laner,Belgium,Fnatic,1998-12-24,Aatrox,Gangplank,Renekton,LEC
BROXAH,19,Jungler,Denmark,Fnatic,1997-08-12,Lee Sin,Gragas,Elise,LEC
NEMESIS,19,Mid Laner,Slovenia,Fnatic,1999-07-26,Twisted Fate,Lissandra,Akali,LEC
REKKLES,19,Bot Laner,Sweden,Fnatic,1996-09-20,Xayah,Sivir,Kai'Sa,LEC
HYLISSANG,19,Support,Bulgaria,Fnatic,1995-04-30,Rakan,Pyke,Braum,LEC
WUNDER,19,Top Laner,Denmark,G2 Esports,1998-11-09,Irelia,Ryze,Kled,LEC
JANKOS,19,Jungler,Poland,G2 Esports,1995-07-23,Jarvan IV,Rek'Sai,Elise,LEC
CAPS,19,Mid Laner,Denmark,G2 Esports,1999-11-17,Sylas,Ryze,Akali,LEC
PERKZ,19,Bot Laner,Croatia,G2 Esports,1998-09-30,Xayah,Kai'Sa,Yasuo,LEC
MIKYX,19,Support,Slovenia,G2 Esports,1998-11-02,Rakan,Tahm Kench,Thresh,LEC
PROMISQ,19,Support,Sweden,G2 Esports,1994-03-04,Alistar,Thresh,0,LEC
SOAZ,19,Top Laner,France,Misfits Gaming,1994-01-09,Aatrox,Jarvan IV,Sion,LEC
MAXLORE,19,Jungler,United Kingdom,Misfits Gaming,1996-07-01,Sejuani,Elise,Lee Sin,LEC
FEBIVEN,19,Mid Laner,Netherlands,Misfits Gaming,1996-09-23,Irelia,Lissandra,Ryze,LEC
HANS SAMA,19,Bot Laner,France,Misfits Gaming,1999-09-02,Lucian,Xayah,Kai'Sa,LEC
GORILLA,19,Support,South Korea,Misfits Gaming,1994-11-18,Alistar,Rakan,Tahm Kench,LEC
ALPHARI,19,Top Laner,United Kingdom,Origen,1999-10-20,Kennen,Urgot,Aatrox,LEC
KOLD,19,Jungler,Denmark,Origen,1995-02-22,Jarvan IV,Rek'Sai,Sejuani,LEC
NUKEDUCK,19,Mid Laner,Norway,Origen,1996-05-21,Ryze,Corki,Yasuo,LEC
PATRIK,19,Bot Laner,Czech Republic,Origen,2000-04-07,Ezreal,Sivir,Draven,LEC
MITHY,19,Support,Spain,Origen,1994-10-05,Tahm Kench,Rakan,Nautilus,LEC
PROFIT,19,Top Laner,South Korea,Rogue,1995-09-15,Aatrox,Kennen,Jayce,LEC
FINN,19,Top Laner,Sweden,Rogue,1999-06-03,Aatrox,Kled,Urgot,LEC
KIKIS,19,Jungler,Poland,Rogue,1996-03-16,Olaf,Lee Sin,Sejuani,LEC
SENCUX,19,Mid Laner,Denmark,Rogue,1998-09-17,Corki,Akali,Ryze,LEC
HEAQ,19,Bot Laner,Estonia,Rogue,,Ezreal,Xayah,Lucian,LEC
WADID,19,Support,South Korea,Rogue,1997-05-25,Rakan,Tahm Kench,Alistar,LEC
VANDER,19,Support,Poland,Rogue,1994-04-18,Braum,Rakan,Alistar,LEC
WERLYB,19,Top Laner,Spain,SK Gaming,1997-08-14,Sion,Kennen,Poppy,LEC
SELFMADE,19,Jungler,Poland,SK Gaming,1999-12-15,Gragas,Sejuani,Rek'Sai,LEC
PIREAN,19,Mid Laner,South Korea,SK Gaming,1998-04-09,Lissandra,LeBlanc,Zoe,LEC
CROWNSHOT,19,Bot Laner,Slovenia,SK Gaming,1998-04-17,Ezreal,Lucian,Kai'Sa,LEC
DREAMS,19,Support,South Korea,SK Gaming,1996-03-07,Braum,Tahm Kench,Thresh,LEC
VIZICSACSI,19,Top Laner,Hungary,Splyce,1993-06-14,Gangplank,Gnar,Kennen,LEC
OROME,19,Top Laner,Romania,Splyce,1998-01-16,Vladimir,Ornn,Cho'Gath,LEC
XERXE,19,Jungler,Romania,Splyce,1999-11-05,Gragas,Jarvan IV,Olaf,LEC
HUMANOID,19,Mid Laner,Czech Republic,Splyce,2000-03-14,Akali,Corki,Ryze,LEC
KOBBE,19,Bot Laner,Denmark,Splyce,1996-09-21,Kai'Sa,Xayah,Tristana,LEC
NORSKEREN,19,Support,Norway,Splyce,1999-12-27,Thresh,Nautilus,Rakan,LEC
CABOCHARD,19,Top Laner,France,Team Vitality,1997-04-15,Jayce,Urgot,Karma,LEC
MOWGLI,19,Jungler,South Korea,Team Vitality,1998-04-14,Jarvan IV,Lee Sin,Olaf,LEC
JIIZUKE,19,Mid Laner,Italy,Team Vitality,1996-01-14,Corki,LeBlanc,Sylas,LEC
SAKEN,19,Mid Laner,France,Team Vitality,1998-11-05,Aatrox,Irelia,Ryze,LEC
ATTILA,19,Bot Laner,Portugal,Team Vitality,1996-02-26,Ezreal,Lucian,Kai'Sa,LEC
JACTROLL,19,Support,Poland,Team Vitality,1998-08-05,Tahm Kench,Alistar,Yuumi,LEC
EXPECT,20,Top Laner,South Korea,Excel,1996-07-04,Gangplank,Renekton,Aatrox,LEC
CAEDREL,20,Jungler,United Kingdom,Excel,1996-03-19,Sett,Volibear,Gragas,LEC
MICKEY,20,Mid Laner,South Korea,Excel,1997-07-15,LeBlanc,Azir,Zoe,LEC
PATRIK,20,Bot Laner,Czech Republic,Excel,2000-04-07,Aphelios,Ezreal,Kalista,LEC
TORE,20,Support,Norway,Excel,1999-12-27,Thresh,Rakan,Braum,LEC
ODOAMNE,20,Top Laner,Romania,Schalke 04,1995-01-18,Aatrox,Ornn,Renekton,LEC
GILIUS,20,Jungler,Germany,Schalke 04,1997-01-05,Gragas,Lee Sin,Sejuani,LEC
LUROX,20,Jungler,Germany,Schalke 04,1999-06-07,Rek'Sai,Lee Sin,Gragas,LEC
ABBEDAGGE,20,Mid Laner,Germany,Schalke 04,1999-09-10,Azir,Orianna,Zoe,LEC
FORG1VEN,20,Bot Laner,Greece,Schalke 04,1992-07-23,Miss Fortune,Senna,Varus,LEC
INNAXE,20,Bot Laner,Bulgaria,Schalke 04,1999-03-23,Ezreal,Aphelios,Senna,LEC
DREAMS,20,Support,South Korea,Schalke 04,1996-03-07,Nautilus,Braum,Tahm Kench,LEC
BWIPO,20,Top Laner,Belgium,Fnatic,1998-12-24,Ornn,Gangplank,Sett,LEC
SELFMADE,20,Jungler,Poland,Fnatic,1999-12-15,Gragas,Graves,Lee Sin,LEC
NEMESIS,20,Mid Laner,Slovenia,Fnatic,1999-07-26,Orianna,Corki,Cassiopeia,LEC
REKKLES,20,Bot Laner,Sweden,Fnatic,1996-09-20,Senna,Aphelios,Jhin,LEC
HYLISSANG,20,Support,Bulgaria,Fnatic,1995-04-30,Thresh,Nautilus,Rakan,LEC
WUNDER,20,Top Laner,Denmark,G2 Esports,1998-11-09,Ornn,Aatrox,Camille,LEC
JANKOS,20,Jungler,Poland,G2 Esports,1995-07-23,Sett,Lee Sin,Rek'Sai,LEC
PERKZ,20,Mid Laner,Croatia,G2 Esports,1998-09-30,Ashe,Senna,Jhin,LEC
CAPS,20,Bot Laner,Denmark,G2 Esports,1999-11-17,Syndra,Zoe,Aphelios,LEC
MIKYX,20,Support,Slovenia,G2 Esports,1998-11-02,Nautilus,Thresh,Tahm Kench,LEC
OROME,20,Top Laner,Romania,MAD Lions,1998-01-16,Renekton,Gangplank,Maokai,LEC
SHAD0W,20,Jungler,Italy,MAD Lions,2001-02-25,Lee Sin,Lillia,Gragas,LEC
HUMANOID,20,Mid Laner,Czech Republic,MAD Lions,2000-03-14,Orianna,Zoe,LeBlanc,LEC
CARZZY,20,Bot Laner,Czech Republic,MAD Lions,2002-01-31,Ezreal,Senna,Miss Fortune,LEC
KAISER,20,Support,Germany,MAD Lions,1998-11-19,Leona,Nautilus,Rakan,LEC
DAN DAN,20,Top Laner,Spain,Misfits Gaming,1995-09-07,Aatrox,Sett,Gangplank,LEC
RAZORK,20,Jungler,Spain,Misfits Gaming,2000-10-07,Lee Sin,Sejuani,Gragas,LEC
FEBIVEN,20,Mid Laner,Netherlands,Misfits Gaming,1996-09-23,Azir,LeBlanc,Zoe,LEC
BVOY,20,Bot Laner,South Korea,Misfits Gaming,1997-12-18,Aphelios,Ezreal,Xayah,LEC
DENYK,20,Support,Czech Republic,Misfits Gaming,1995-04-30,Braum,Nautilus,Rakan,LEC
ALPHARI,20,Top Laner,United Kingdom,Origen,1999-10-20,Renekton,Gangplank,Aatrox,LEC
XERXE,20,Jungler,Romania,Origen,1999-11-05,Sett,Gragas,Karthus,LEC
NUKEDUCK,20,Mid Laner,Norway,Origen,1996-05-21,Orianna,Ornn,LeBlanc,LEC
UPSET,20,Bot Laner,Germany,Origen,1999-12-16,Aphelios,Miss Fortune,Ezreal,LEC
DESTINY,20,Support,Australia,Origen,1997-10-27,Nautilus,Thresh,Tahm Kench,LEC
FINN,20,Top Laner,Sweden,Rogue,1999-06-03,Ornn,Gangplank,Renekton,LEC
